name,state,parent,diameter,distance,orbit,discovered,discoverer,text
Caliban,f,Uranus,80,"7,200,000",579.5,1997,"Gladman, Nicholson, Burns, & Kavelaars","Caliban orbits Uranus in the opposite direction from the regular moons and the rotation of the planet itself. Its orbit is also somewhat inclined and eccentric, and very far from the planet?more than 10 times farther than Oberon, the farthest regular moon."
Callirrhoe,u,Jupiter,10,"24,200,000",774,2000,Spacewatch Project,-
Callisto,r,Jupiter,"4,800","1,883,000",16.689,1610,Galileo,"Callisto is among the most heavily cratered objects that orbit the Sun. It is thought to be a long-dead world, with hardly any geologic activity on its surface—among the oldest landscapes in our solar system."
Calypso,u,Saturn,24,"294,660",1.888,1980,B. Smith,"Calypso is irregularly shaped by overlapping large craters. This moon appears to also have loose surface material capable of smoothing the appearance of craters. Its surface is one of the most reflective in the solar system, with a visual geometric albedo a measure of how reflective the surface is of 1.34."
Carme,u,Jupiter,30,"22,600,000",692,1938,S. Nicholson,"Carme is the largest member of the Carme group, a D-type asteroid that suffered a collision, which broke off a number of pieces, either before or after being captured by Jupiter's gravity. Those pieces became the other 16 moons in the Carme group."
Carpo,u,Jupiter,3,"17,100,000",456.5,2003,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Ceres,r,Sol,950,"445,748,803","1,680.15",1801,G. Piazzi,"Dwarf planet Ceres is the largest object in the asteroid belt between Mars and Jupiter and the only dwarf planet located in the inner solar system. Called an asteroid for many years, Ceres is so much bigger and so different from its rocky neighbors that scientists classified it as a dwarf planet in 2006."
Chaldene,u,Jupiter,4,"23,179,000",741,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Charon,i,Pluto,"1,207","19,571",6.387,1978,J. Christy,Charon is almost half the size of Pluto. The little moon is so big that Pluto and Charon are sometimes referred to as a double dwarf planet system. Pluto-Charon is our solar system's only known double planetary system.
Cordelia,f,Uranus,26,"49,750",0.335,1986,Voyager 2,"Of the moons known to orbit Uranus, Cordelia is closest to the planet. It and Ophelia are shepherd moons whose gravity keeps the particles that constitute Uranus' Epsilon ring from dispersing."
Cressida,f,Uranus,62,"61,770",0.464,1986,Voyager 2,-
Cupid,f,Uranus,12,"74,800",0.618,2003,M. Showalter & J. Lissauer,"Cupid is one of the inner moons of Uranus, so small and dark that it escaped the notice of Voyager 2 during the spacecraft's visit in 1986."
Cyllene,u,Jupiter,2,"24,000,000",737.8,2003,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Daphnis,u,Saturn,7,"136,500",0.594,2005,the Cassini Imaging Science Team,"The gravitational pull of tiny inner Saturnian moon Daphnis perturbs the orbits of particles of Saturn's A ring—and sculpting the edge of the Keeler Gap into waves. Material on the inner edge of the gap orbits faster than the moon, so the waves there lead the moon in its orbit."
Deimos,r,Mars,12,"23,460",1.2624,1877,Asaph Hall,"Deimos is a small and lumpy, heavily cratered object. Its craters are generally smaller than 2.5km in diameter, however, and it lacks the grooves and ridges seen on Phobos."
Desdemona,f,Uranus,54,"62,660",0.474,1986,Voyager 2,-
Despina,i,Neptune,160,"62,000",0.4,1989,Voyager 2,"Despina is a tiny moon located within Neptune's faint ring system. The irregularly-shaped moon orbits Neptune every eight hours, circling in the same direction as Neptune's own rotation. Despina remains close to Neptune's equatorial plane."
Dione,i,Saturn,"1,120","377,400",2.737,1684,G. the Cassini,"Dione's density is 1.48 times that of liquid water, suggesting that about a third of Dione is made up of a dense core (probably silicate rock) with the remainder of its material being ice."
Dysnomia,u,Eris,300,"36,000",14,2005,"M. Brown, M. van Dam, A. Bouches, D. Le Mignant","Dysnomia has a nearly circular orbit lasting about 16 days. This moon is named after Eris' daughter, the demon goddess of lawlessness."
Earth,s,Sol,"12,756","149,597,871",365.25,-,-,"While Earth is only the fifth largest planet in the solar system, it is the only world in our solar system with liquid water on the surface. Just slightly larger than nearby Venus, Earth is the biggest of the four planets closest to the Sun, all of which are made of rock and metal."
Elara,u,Jupiter,80,"11,737,000",259.65,1905,C. Perrine,-
Enceladus,i,Saturn,498,"238,020",1.37,1789,W. Herschel,"Few worlds in our solar system are as compelling as Saturn’s icy ocean moon Enceladus. A handful of worlds are thought to have liquid water oceans beneath their frozen shell, but Enceladus sprays its ocean out into space where a spacecraft can sample it."
Epimetheus,i,Saturn,124,"151,422",0.694,1966,R. Walker,Epimetheus is a potato-shaped moon. Its shape reflects pronounced flattening at the Epimethean South Pole associated with the remains of a large crater.
Erinome,u,Jupiter,3,"23,279,000",672,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Eris,i,Sol,"2,326","14,510,993,000","36,474.75",2005,"M. Brown, C. Trujillo, D, Rabinowitz","Eris is one of the largest known dwarf planets in our solar system. It's about the same size as Pluto, but is three times farther from the Sun. This triggered a debate in the scientific community that led to the International Astronomical Union's decision in 2006 to clarify the definition of a planet. Pluto, Eris and other similar objects are now classified as dwarf planets."
Erriapo,u,Saturn,10,"17,611,000",871.17,2000,an Intl. Team of 8 Astronomers,-
Euanthe,u,Jupiter,3,"21,017,000",622,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Eukelade,u,Jupiter,4,"24,557,295",746.4,2003,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Euporie,u,Jupiter,2,"19,394,000",534,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Europa,i,Jupiter,"3,126","670,900",3.551,1610,Galileo,Europa is perhaps the most promising place to look for present-day environments suitable for life. Europa is thought to have an ocean of salty water below its frozen outer shell of ice.
Eurydome,u,Jupiter,3,"23,219,000",713,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Farbauti,u,Saturn,5,"20,390,000","1,086.10",2005,"D. Jewitt, S. Sheppard, J. Kleyna",-
Fenrir,u,Saturn,4,"22,453,000","1,260.30",2005,"D. Jewitt, S. Sheppard, J. Kleyna",-
Ferdinand,f,Uranus,21,"20,901,000","2,823.40",2001,M. Holman & B. Gladman et al,-
Fornjot,u,Saturn,6,"25,108,000","1,490.90",2005,"D. Jewitt, S. Sheppard, J. Kleyna",-
Francisco,f,Uranus,22,"4,276,000",266.6,2001,M. Holman & B. Gladman et al,-
Galatea,i,Neptune,140,"52,500",0.33,1989,Voyager 2,"Small and irregularly-shaped like Despina, Galatea orbits in the same direction as Neptune and is relatively close to the gas giant's equatorial plane. The small moon's gravity is believed to cause disturbances in Neptune's ring system."
Ganymede,f,Jupiter,"5,276","1,070,000",7.155,1610,Galileo,"Ganymede is the largest moon in our solar system and the only moon with its own magnetic field. The magnetic field causes auroras, which are ribbons of glowing, electrified gas, in regions circling the moon’s north and south poles."
Greip,u,Saturn,6,"18,206,000",921.2,2006,"S. Sheppard, D. Jewitt, J. Kleyna",-
Halimede,i,Neptune,60,"15,686,000","1,874.83",2002,M. Holman & J.J. Kavelaars,"Halimede is considered an irregular satellite because of its distant, eccentric orbit around Neptune. Like most irregular satellites of the giant planets in our outer solar system, Halimede most likely formed after a collision between a larger moon and a comet or an asteroid."
Harpalyke,u,Jupiter,4,"21,105,000",595,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Hati,u,Saturn,6,"19,856,000","1,038.70",2005,"D. Jewitt, S. Sheppard, J. Kleyna",-
Haumea,i,Sol,"1,850","7,629,491,400","103,731",2004,M. Brown,"Originally designated 2003 EL61 (and nicknamed Santa by one discovery team), Haumea resides in the Kuiper belt and is roughly the same size as Pluto. Haumea is one of the fastest rotating large objects in our solar system. Its fast spin distorts Haumea's shape, making this dwarf planet look like a football."
Hegemone,u,Jupiter,3,"24,514,095",781.6,2003,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Helene,r,Saturn,32,"377,400",2.737,1980,Laques & Lecacheux,"Helene, a small and faint moon of Saturn, is referred to as a Trojan moon because it shares its orbit with another moon—Dione, a moon hundreds of times larger than Helene."
Helike,u,Jupiter,4,"10,972,830",233.8,2003,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Hermippe,u,Jupiter,4,"21,252,000",630,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Hi'iaka,u,Haumea,310,"49,500",49.12,2005,"H.A. Weaver, S.A. Stern, et al.",Hi'aka is the patron goddess of the island of Hawaii and of hula dancers.
Himalia,f,Jupiter,170,"11,480,000",250.57,1904,C. Perrine,"Himalia is the fifth largest moon orbiting Jupiter. It is by far the largest member of the Himalia group, a family of Jovian satellites which have similar orbits and appearance, and are therefore thought to have a common origin. "
Hippocamp,u,Neptune,34,"105,283",0.95,2013,M. Showalter,"Hippocamp is unusually close to a much larger Neptunian moon called Proteus. Normally, a moon like Proteus should have gravitationally swept aside or swallowed the smaller moon while clearing out its orbital path."
Hydra,i,Pluto,70,"64,780",38.206,2005,"H.A. Weaver, S.A. Stern, et al.",Hydra is the outer of the two moons discovered orbiting Pluto in 2005. They are so faint so small and so faint that scientists combined a short exposure of Pluto and Charon and a long exposure of Nix and Hydra to create images of them all together.
Hyperion,i,Saturn,294,"1,481,000",21.277,1848,W. Bond,"Hyperion is the largest of Saturn's irregular, nonspherical moons. Hyperion's density is slightly more than half that of water. This could be due to water ice with porosity of more than 40 percent."
Hyrokkin,u,Saturn,8,"18,437,000",931.8,2006,"S. Sheppard, D. Jewitt, J. Kleyna",-
Iapetus,i,Saturn,"1,436","3,561,300",79.3215,1671,G. the Cassini,Iapetus has been called the yin and yang of the Saturn moons because its leading hemisphere has an albedo as dark as coal (0.03) and its trailing hemisphere is much brighter (0.6).
Ijiraq,u,Saturn,14,"11,440,000",451.48,2000,an Intl. Team of 8 Astronomers,-
Io,r,Jupiter,"3,629","421,600",1.769,1610,Galileo,"Io is the most volcanically active world in the solar system, with hundreds of volcanoes, some erupting lava fountains dozens of miles high. Io is caught in a tug-of-war between Jupiter and neighboring moons."
Iocaste,u,Jupiter,5,"21,269,000",657,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Isonone,u,Jupiter,4,"23,217,000",712,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Janus,i,Saturn,172,"151,472",0.695,1966,A. Dollfus,"Janus is extensively cratered with several craters larger than 30 kilometers. Janus' prominent craters are named Castor, Phoebe, Idas and Lynceus."
Jarnsaxa,u,Saturn,6,"18,811,000",964.7,2006,"S. Sheppard, D. Jewitt, J. Kleyna",-
Juliet,f,Uranus,84,"64,360",0.493,1986,Voyager 2,-
Jupiter,s,Sol,"142,984","816,624,857","4,331.87",-,-,Jupiter is more than twice as massive than the other planets of our solar system combined. The giant planet's Great Red spot is a centuries-old storm bigger than Earth.
Kale,u,Jupiter,2,"23,124,000",609,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Kallichore,u,Jupiter,2,"22,395,390",683,2003,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Kalyke,u,Jupiter,5,"23,583,000",760,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Kari,u,Saturn,7,"22,118,000","1,233.60",2006,"S. Sheppard, D. Jewitt, J. Kleyna",-
Kerberos,u,Pluto,28,"59,000",32.1,2011,"Showalter, M. R. et al.","Pluto's tiny moon Kerberos appears to be smaller than scientists expected and has a highly-reflective surface, counter to predictions prior to the July 2015 flyby of the NASA's New Horizons spacecraft."
Kiviuq,u,Saturn,17,"11,365,000",449.22,2000,an Intl. Team of 8 Astronomers,-
Kore,u,Jupiter,2,"24,543,000",779.2,2003,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Laomedeia,u,Neptune,38,"22,613,200","2,980.40",2002,M. Holman & J.J. Kavelaars,"Laomedeia is considered an irregular satellite because of its distant, eccentric orbit around Neptune. Like most irregular satellites of the giant planets in our outer solar system, Laomedeia most likely formed after a collision between a larger moon and a comet or an asteroid."
Larissa,i,Neptune,200,"73,600",0.56,1989,Voyager 2,"Larissa is another of the small moons found near Neptune's faint ring system in 1989. Like Despina and Galatea, Larissa is irregularly shaped and heavily cratered."
Leda,u,Jupiter,10,"11,094,000",238.72,1974,C. Kowal,-
Loge,u,Saturn,6,"23,065,000","1,312.00",2006,"S. Sheppard, D. Jewitt, J. Kleyna",-
Luna,s,Earth,"3,475","384,400",27.322,-,-,"The brightest and largest object in our night sky, the Moon makes Earth a more livable planet by moderating our home planet's wobble on its axis, leading to a relatively stable climate. It also causes tides, creating a rhythm that has guided humans for thousands of years. The Moon was likely formed after a Mars-sized body collided with Earth."
Lysithea,u,Jupiter,24,"11,720,000",259.22,1938,S. Nicholson,-
Mab,f,Uranus,16,"97,734",0.923,2003,M. Showalter & J. Lissauer,"Mab is a small, inner moon of Uranus. It orbits at the same distance as one of the planet's rings, the Mu ring, and in fact may provide dust for that ring when the moon is struck by small meteoroids or ring particles."
Magaclite,u,Jupiter,5,"23,806,000",771,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Makemake,i,Sol,"1,430","7,779,089,300","111,766.50",2005,"M. Brown, C. Trujillo, D, Rabinowitz","Along with fellow dwarf planets Pluto, Eris and Haumea, Makemake is located in the Kuiper Belt, a region outside the orbit of Neptune. Slightly smaller than Pluto, Makemake is the second-brightest object in the Kuiper Belt as seen from Earth."
Margaret,f,Uranus,11,"14,688,700","1,694.80",2003,S. Sheppard,-
Mars,s,Sol,"6,794","249,200,000",687,-,-,"Mercury—the smallest planet in our solar system and closest to the Sun—is only slightly larger than Earth's Moon. Mercury is the fastest planet, zipping around the Sun every 88 Earth days."
Mercury,s,Sol,"4,880","69,816,900",87.97,-,-,"Mercury—the smallest planet in our solar system and closest to the Sun—is only slightly larger than Earth's Moon. Mercury is the fastest planet, zipping around the Sun every 88 Earth days."
Methone,u,Saturn,3,"194,000",1.01,2004,C.C. Porco et al./the Cassini,Methone is a tiny moon that orbits between Mimas and Enceladus. 
Metis,u,Jupiter,40,"127,960",0.295,1979,S. Sunnott,-
Mimas,i,Saturn,398,"185,520",0.942,1789,W. Herschel,Most of the Mimas surface is saturated with impact craters ranging in size up to greater than 40 kilometers in diameter.
Miranda,f,Uranus,472,"129,780",1.414,1948,G. Kuiper,"Like Frankenstein's monster, Miranda looks like it was pieced together from parts that didn't quite merge properly. At about 500 km in diameter, it's only one-seventh as large as Earth's moon, a size that seems unlikely to support much tectonic activity."
Mneme,u,Jupiter,2,"21,069,000",620.04,2003,Scott S. Sheppard & B. Gladman,-
Mundilfari,u,Saturn,7,"18,709,000",951.38,2000,an Intl. Team of 8 Astronomers,-
Naiad,u,Neptune,50,"48,200",0.3,1989,Voyager 2,"Potato-shaped Naiad is most likely made up of fragments of Neptune's original satellites, which were smashed up by disturbances when the ice giant captured its largest moon, Triton. It is probable that Naiad has not been modified by any internal geological processes since its formation."
Namaka,i,Haumea,170,"39,000",34.7,2005,"H.A. Weaver, S.A. Stern, et al.",Namaka is a water spirit in Hawaiian mythology.
Narvi,u,Saturn,8,"18,719,000",956.2,2003,"Scott S. Sheppard, David Jewitt, and Jan Kleyna",-
Neptune,s,Sol,"55,528","4,487,936,100","60,193.20",1846,j.j. le verrier,"Neptune—the eighth and most distant major planet orbiting our Sun—is dark, cold and whipped by supersonic winds. It was the first planet located through mathematical calculations, rather than by telescope."
Nereid,i,Neptune,340,"5,513,400",360.16,1949,G. Kuiper,Nereid is one of the outermost of Neptune's known moons and is among the largest. Nereid is unique because it has one of the most eccentric orbits of any moon in our solar system.
Neso,u,Neptune,60,"47,279,670","9,007.10",2002,Holman & Gladman et al,"Very little is known about Neso, another of Neptune's extremely distant irregular moons. Neso's eccentric orbit takes it millions of kilometers from the ice giant. The moon's orbit is among the most distant from its planet than any other known moon in our solar system."
Nix,i,Pluto,70,"48,675",24.856,2005,"H.A. Weaver, S.A. Stern, et al.","Nix is the inner of the two moons discovered orbiting Pluto in 2005. Nix and Hydra are roughly 5,000 times fainter than Pluto and are about two to three times farther from Pluto than its large moon, Charon"
Oberon,f,Uranus,"1,526","582,600",13.463,1787,W. Herschel,"Oberon is heavily cratered, especially when compared to three other moons of Uranus: Ariel, Titania and Miranda."
Ophelia,f,Uranus,30,"53,440",0.3764,1986,Voyager 2,Ophelia is one of the small inner moons of Uranus. Ophelia appears to be the outer satellite straddling Uranus' bright Epsilon ring. Ophelia and Cordelia are believed to herd the ring material into shape and keep it from drifting into space.
Orthosie,u,Jupiter,2,"21,168,000",617,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Paaliaq,u,Saturn,25,"15,199,000",686.92,2000,an Intl. Team of 8 Astronomers,-
Pallene,u,Saturn,4,"211,000",1.14,2004,C.C. Porco et al./the Cassini,"Pallene shares its orbit with a faint dust ring around Saturn, now called the Pallene Ring. This ring may be made of particles blasted off Pallene's surface by meteoroid impacts."
Pan,u,Saturn,19,"133,630",0.575,1990,M. Showalter,"Pan creates stripes, called wakes, in the ring material on either side of it. Since ring particles closer to Saturn than Pan move faster in their orbits, these particles pass the moon and receive a gravitational kick from Pan as they do."
Pandora,i,Saturn,85,"141,700",0.629,1980,S. Collins,"Pandora, a potato-shaped moon, is coated in a fine icy material. Even the craters on Pandora are coated in debris, a stark contrast to the crisply-defined craters of other moons, such as Hyperion."
Pasiphae,u,Jupiter,36,"23,500,000",735,1908,P. Melotte,Pasiphae is the largest member of the Pasiphae group. Pasiphae was probably an asteroid that was captured by Jupiter's gravity and then suffered a collision which broke off a number of pieces.
Pasithee,u,Jupiter,2,"23,029,000",715,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Perdita,f,Uranus,20,"76,420",0.638,1986,E. Karkoschka/Voyager 2,-
Phobos,f,Mars,23,"9,270",0.3189,1877,Asaph Hall,"Phobos, gouged and nearly shattered by a giant impact crater and beaten by thousands of meteorite impacts, is on a collision course with Mars."
Phoebe,i,Saturn,220,"12,952,000",550.48,1898,W. Pickering,"Phoebe was the first target encountered upon the arrival of the Cassini spacecraft in the Saturn system in 2004, and is thus unusually well-studied for an irregular moon of its size."
Pluto,i,Sol,"2,376","7,330,295,700","89,866.11",1930,c. tombaugh,"Pluto is a complex world of ice mountains and frozen plains. Once considered the ninth planet, Pluto is the largest member of the Kuiper Belt and the best known of a new class of worlds called dwarf planets."
Polydeuces,u,Saturn,4,"377,400",2.74,2004,C.C. Porco et al./the Cassini,"It is believed that Polydeuces can get as close as 39 degrees to Dione and then drift as far as 92 degrees from it, taking over two years to complete its journey around the Lagrange point."
Portia,f,Uranus,108,"66,085",0.513,1986,Voyager 2,-
Praxidike,u,Jupiter,7,"21,147,000",632,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Prometheus,i,Saturn,95,"139,350",0.613,1980,S. Collins,"Prometheus acts as a shepherding moon, constraining the extent of the inner edge of Saturn's F Ring. Prometheus is extremely irregular and has visible craters."
Prospero,f,Uranus,30,"16,256,000",5.346,1999,"Kavelaars, Gladman, Holman et al","Its orbital characteristics are similar to those of Sycorax and Setebos, suggesting a common origin. But its gray color differs from the light red color of Sycorax, implying a different origin."
Proteus,i,Neptune,420,"117,600",1.12,1989,Voyager 2,"Proteus is one of the largest of Neptune's known moons, although it is not as big as Triton. The moon has an odd box-like shape and if it had just a little more mass it would be able to transform into a sphere."
Psamathe,u,Neptune,38,"46,738,000","9,136.11",2003,"D. Jewitt, J. Kleyna & S. Sheppard",Psamathe is so distant from Neptune it takes almost 26 Earth years to make a single orbit around the ice giant. The moon's orbit is among the most distant from its planet than any other known moon in our solar system.
Puck,f,Uranus,154,"86,010",0.762,1985,Voyager 2,-
Rhea,i,Saturn,"1,528","527,040",4.518,1672,G. the Cassini,"Rhea is a small, cold, airless body that is very similar to sister moons Dione and Tethys. As with the other two moons, Rhea is tidally locked in phase with its parent, one side always faces toward Saturn."
Rosalind,f,Uranus,54,"69,941",0.558,1986,Voyager 2,-
Sao,u,Neptune,38,"22,337,190","2,925.60",2002,M. Holman & J.J. Kavelaars,Very little is known about Sao. Scientists are trying to learn more about it and its irregular sisters because they offer a glimpse of the conditions at the time the planets in our solar system were forming billions of years ago.
Saturn,s,Sol,"58,232","1,514,498,900","10,738.35",-,babylonia,"Adorned with a dazzling, complex system of icy rings, Saturn is unique in our solar system. The other giant planets have rings, but none are as spectacular as Saturn's."
Sedna,i,Sol,"1,060","140,173,200,000","4,163,850",2005,"M. Brown, C. Trujillo, D, Rabinowitz","Sedna is a large planetoid in the outer reaches of the Solar System at a distance of about 85 astronomical units from the Sun, about three times farther than Neptune."
Setebos,f,Uranus,47,"17,418,000","2,234.80",1999,"Kavelaars, Gladman, Holman et al",-
Siarnaq,u,Saturn,45,"18,160,000",893.07,2000,an Intl. Team of 8 Astronomers,-
Sinope,u,Jupiter,28,"23,700,700",758,1914,S. Nicholson,-
Skathi,u,Saturn,8,"15,645,000",728.93,2000,an Intl. Team of 8 Astronomers,-
Skoll,u,Saturn,6,"17,665,000",878.3,2006,"S. Sheppard, D. Jewitt, J. Kleyna",-
Sol,s,The Galactic Core,"1,390,000","270,000,000,000,000,000","82,125,000,000",-,-,"The Sun is a yellow dwarf star, a hot ball of glowing gases at the heart of our solar system. Its gravity holds everything from the biggest planets to tiny debris in its orbit."
Sponde,u,Jupiter,2,"23,808,000",732,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Stephano,f,Uranus,32,"8,004,000",677.4,1999,"Kavelaars, Gladman, Holman et al",-
Styx,u,Pluto,18,"42,000",20.2,2012,"Showalter, M. R. et al.",Pluto’s tiny moon Styx was uncovered in a Hubble survey searching for potential hazards in advance of the July 2015 New Horizons spacecraft Pluto flyby.
Surtur,u,Saturn,6,"22,707,000","1,297.70",2006,"S. Sheppard, D. Jewitt, J. Kleyna",-
Suttungr,u,Saturn,7,"19,470,000","1,016.80",2000,Gladman et al.,-
Sycorax,f,Uranus,160,"12,200,000","1,283.39",1997,"Gladman, Nicholson, Burns, & Kavelaars",-
Tarqeq,u,Saturn,7,"18,009,000",887.5,2007,"S. Sheppard, D. Jewitt, J. Kleyna",-
Tarvos,u,Saturn,16,"18,239,000",925.7,2000,an Intl. Team of 8 Astronomers,-
Taygete,u,Jupiter,5,"23,360,000",687,2000,"S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier",-
Telesto,u,Saturn,24,"294,660",1.888,1980,B. Smith,-
Tethys,i,Saturn,"1,060","294,660",1.888,1684,G. the Cassini,"Tethys is Saturn's fifth largest moon. This cold, airless and heavily scarred body is very similar to sister moons Dione and Rhea except that Tethys is not as heavily cratered as the other two."
Thalassa,i,Neptune,90,"50,000",0.31,1989,Voyager 2,"Thalassa, like Naiad, most likely formed from fragments of Neptune's original moons, which were smashed by the disturbances caused when the ice giant Neptune captured Triton. Thalassa is unusual for an irregular moon because it is roughly disk-shaped."
Thebe,i,Jupiter,100,"221,900",0.675,1979,S. Synnott,-
Thelxinoe,u,Jupiter,2,"21,162,000",628.09,2003,Scott S. Sheppard & B. Gladman,-
Themisto,u,Jupiter,8,"7,507,000",130.07,1975,C. Kowal & E. Roemer,-
Thrymr,u,Saturn,7,"20,470,000","1,088.89",2000,an Intl. Team of 8 Astronomers,-
Thyone,u,Jupiter,4,"21,312,000",615,2001,"S. Sheppard, D. Jewitt, & J. Kleyna",-
Titan,r,Saturn,"5,150","1,221,850",15.945,1655,C. Huygens,"Titan is bigger than Earth's moon, and even larger than the planet Mercury. Titan is the only moon in our solar system that has clouds and a dense atmosphere, and the only world apart from Earth with liquids on its surface."
Titania,f,Uranus,"1,578","435,840",8.706,1787,W. Herschel,"Titania is Uranus' largest moon. A prominent system of fault valleys is visible near the terminator. The troughs break the crust in two directions, an indication of some tectonic extension of Titania's crust."
Trinculo,f,Uranus,10,"8,578,000",759,2001,"M. Holman, J. Kavelaars & D. Milisavljevic",-
Triton,i,Neptune,"2,705","354,800",5.877,1846,W. Lassel,Triton is the largest of Neptune's 13 moons. It is unusual because it is the only large moon in our solar system that orbits in the opposite direction of its planet's rotation?a retrograde orbit.
Umbriel,f,Uranus,"1,190","265,970",4.144,1851,W. Lassel,"Umbriel is the darkest of Uranus' largest moons. It reflects only 16 percent of the light that strikes its surface, a feature similar to the highland areas of Earth's Moon. Other Uranian moons are much brighter. The process by which Umbriel's ancient cratered surface was darkened remains a mystery."
Uranus,s,Sol,"51,118","2,991,957,400","30,681",1871,W. Herschel,Uranus—seventh planet from the Sun—rotates at a nearly 90-degree angle from the plane of its orbit. This unique tilt makes Uranus appear to spin on its side.
Venus,s,Sol,"12,103","108,939,000",225,-,-,"Venus spins slowly in the opposite direction from most planets. A thick atmosphere traps heat in a runaway greenhouse effect, making it the hottest planet in our solar system."
Ymir,u,Saturn,20,"23,096,000","1,312.37",2000,an Intl. Team of 8 Astronomers,-
